article_title,source_title,abstract,journal_abbreviation,publication_date,publication_year,doi,wo_s_categories,ids_number,ut_unique_wos_id
Networking of integrated pest management: A powerful approach to address common challenges in agriculture,CROP PROTECTION,"Integrated pest management (IPM) is facing both external and internal challenges. External challenges include increasing needs to manage pests (pathogens, animal pests and weeds) due to climate change, evolution of pesticide resistance as well as virulence matching host resistance. The complexity of designing effective pest management strategies, which rely less heavily on the use of conventional pesticides, is another external challenge. Internal challenges include organizational aspects such as decreasing trend in budget allocated to IPM research, increasing scarcity of human expertise, lack of knowledge transfer into practice and the communication gap both at country level and between countries, and lack of multi-, inter- and transdisciplinary IPM research. There is an increasing awareness that trans-national networking is one means to overcome such challenges and to address common priorities in agriculture. A large number of stakeholders (researchers, policy makers, growers And industries) are involved in the sector of crop protection, which needs to be coordinated through effective communications and dynamic collaboration to make any IPM strategy successful. Here we discuss a decade-long IPM networking experiences in Europe emphasizing how IPM research, implementation and adoption in Europe may benefit from a broader level networking. (C) 2016 Elsevier Ltd. All rights reserved.",CROP PROT,NOV,2016,10.1016/j.cropro.2016.07.011,Agronomy,DW7JG,WOS:000383826400020
"Making Meat, Better: The Metaphors of Plant-Based and Cell-Based Meat Innovation",ENVIRONMENTAL COMMUNICATION-A JOURNAL OF NATURE AND CULTURE,"A variety of advocates argue that industrialized animal food production creates major problems related to the global food supply, climate change, animal suffering, and diet-related public health maladies. The alternative protein sector - encompassing both the nascent cell-based meat industry (also known as cultured, lab-grown, clean, cultivated, or in vitro meat) and the long-standing but evolving enterprise of plant-based meat production - has emerged in response. With a focus on the reality-defining power of metaphors, this article draws from a mixed set of qualitative materials to investigate the perspectives of alternative protein advocates, identifying two dominant conceptual metaphors that permeate their discourse. First, the metaphor that meat is made aims to transform the concept of meat itself, such that it is decoupled from its long-standing connection to animal farming and is understood instead as a set of tastes and textures that can be reconstructed through food science and biotechnology. Second, the metaphor of the market for alternative meats situates innovation, capital investment, and insights from behavioral economics and marketing as the primary agents for creating a post-animal bioeconomy. At the same time as these metaphors highlight particular aspects of the enterprise, they also serve to downplay a set of public concerns, including those related to the sector's overall public health, cultural, economic, and ecological impacts. At a moment when alternative meats are being granted increased public attention, understanding the metaphors that characterize the industry offers environmental communication scholars the opportunity to examine its promise and limitations.",ENVIRON COMMUN,OCT 2,2020,10.1080/17524032.2020.1725085,Communication; Environmental Studies,NU4QI,WOS:000519647300001
Fuel Efficient Route Planning Using VANET,"2018 IEEE 9TH ANNUAL INFORMATION TECHNOLOGY, ELECTRONICS AND MOBILE COMMUNICATION CONFERENCE (IEMCON)","Traffic congestion due to overloaded road infrastructure is a key contributing factor of global warming. Dynamic route planning (DRP) of vehicles can be helpful to reduce congestion and provide faster and more fuel-efficient trips for vehicles. VANET (Vehicular Ad Hoc Network) and its associated WAVE (Wireless Access in Vehicular Environment) standards facilitate this process, by allowing vehicles to share accumulated travel data with each other and plan their routes based on the gathered information. Communication and decision making can be carried out using centralized or distributed approach and should consider network usage and scalability. In this paper, we propose a novel and scalable dynamic route planning approach that uses real-time traffic information to update vehicle routes. We introduce the concept of a delay threshold at intersections to identify traffic congestion and propose a hybrid metric that considers average travel time and occupancy rate for each road segment. Our simulation results indicate that the proposed approach can lead to reductions in trip time and carbon emissions.",NA,NA,2018,NA,"Engineering, Electrical & Electronic; Telecommunications",BM2QM,WOS:000461314200077
Optimism and alienation - colour schemes and soundscapes as means for the social construction of risk in climate education videos,SOCIAL SEMIOTICS,"While the field of climate change communication has become increasingly interested in visual representations, there has been a lack of research that attempts to capture the breadth and variety of semiotic resources being drawn upon in the contemporary media landscape. In this paper, social semiotic theory is drawn upon for investigating how colour and sound may contribute to the social construction of risk in a sample of four professionally produced Norwegian educational videos, all of which are aimed at explaining the reality and danger of anthropogenic climate change. The results indicate that the colour schemes and soundscapes of the videos contribute meaning potentials with affective resonances apt for the social construction of risk, and that the videos construe the risk differently. The authors suggest that in two of the sampled videos, the uses of colour and sound are apt for attenuating the risk perceived by the viewer, while in two other videos they are used in a manner apt for amplifying the perceived risk. Implications of these results are discussed in light of previous research on multimodal climate communication.",SOC SEMIOT,MAR 15,2023,10.1080/10350330.2020.1838871,"Humanities, Multidisciplinary; Communication; Linguistics",G7MR5,WOS:000584809000001
Renewable Energy Assisted Traffic Aware Cellular Base Station Energy Cooperation,ENERGIES,"With global concern for climate change, and for cutting down the energy cost, especially in off grid areas, use of renewable energy has been gaining widespread attention in many areas including cellular communication. The base station (BS) has emerged as a strong candidate for the integration of renewable energy sources (RES), particularly solar and wind. The incorporation of renewable energy opens many possibilities for energy conservation through strategies such as energy cooperation between BSs during the off-peak hours, when the energy harvested from renewable energy sources may become surplus. In this paper, we present the case for cellular BSs enabled with renewable energy sources (RES) to have an arrangement in which the BS provide surplus energy to a neighboring BS, thus minimizing the use of conventional energy. A realistic objective is developed for northern region of Pakistan, which entails modeling of solar panels and wind-turbine according to the average solar irradiation and wind speed of the region. We also model the dynamic load of the BS, which depicts temporal fluctuations with traffic variations. Based on these models we initiate an energy cooperation scheme between the BS in which an energy cost minimization framework is mathematically modeled and solved through the interior point method algorithm. Results are obtained for different times of the year for different number of base stations showing respective energy cost savings.",ENERGIES,JAN,2018,10.3390/en11010099,Energy & Fuels,FV2LG,WOS:000424397600099
A Bridge to Where? Tracing the Bridge Fuel Metaphor in the Canadian Media Sphere,FRONTIERS IN COMMUNICATION,"This paper examines how Canadian media have discussed the role of natural gas in climate change mitigation from 2016 to 2019. It also explicates different stakeholders' varying stances on the environmental impacts of North America's ongoing shale gas boom, as manifested in their conflicting attitudes toward designating unconventional gas as a bridge to a low-carbon future. The data in question consist of 99 articles published by Canadian media sources, all of which included explicit references to either bridge fuel or transition fuel. Through a qualitative thematic analysis, I found that more than half of the articles adopted the conventional definition of bridge fuel. Meanwhile, there are three less common, yet noteworthy interpretations arising out of the rest of the articles, which conflict with each other in terms of their views on the relationship between unconventional gas and greenhouse gas emissions reduction. Overall, the fact that bridge fuel references only appeared in a fraction of Canadian environmental and energy news reports during the target period suggests the issue's peripheral status in the Canadian media sphere. Given this situation, the paper ends by calling for more knowledge mobilization efforts to raise public awareness of the controversial factors underlying expanding unconventional gas production and consumption.",FRONT COMMUN,DEC 17,2020,10.3389/fcomm.2020.586711,Communication,TQ0BS,WOS:000677956000001
Elements of fishing community resilience to climate change in the coastal zone of Bangladesh,JOURNAL OF COASTAL CONSERVATION,"Resilience has been conceptualized in various ways by anthropologists, ecologists, systems scientists and engineers; the boundaries of resilience are subjective and context dependent. Consequently, choosing the standards and metrics for assessing resilience remains key challenges for policy makers. In this study, using multicriteria evaluation of 40 basic criteria of human, physical, financial, natural and social assets, we have identified several elements, such as experienced fishermen, natural abundance of hilsa (Tenualosa ilisha), ability to assert decision on fish selling, nets and boats ownership, social harmony and capacity of buying food as essential livelihood assets for the fishermen at Hatiya Island, Bangladesh. These assets may enhance the relative resilience of the fishing community of the island to climate change by as much as 20-40%. The results of this study will improve our understanding of the elements that lead to resilience at the community level.",J COAST CONSERV,DEC,2018,10.1007/s11852-018-0626-9,Biodiversity Conservation; Environmental Sciences; Marine & Freshwater Biology; Water Resources,HB4TI,WOS:000451048600011
Environmental framing on Twitter: Impact of Trump's Paris Agreement withdrawal on climate change and ocean acidification dialogue,COGENT ENVIRONMENTAL SCIENCE,"The role of social media in communicating emerging environmental issues has received little attention. One such issue is ocean acidification (OA), the process by which carbon dioxide (CO2) acidifies oceans. Although scientists consider OA to be as dangerous as climate change (CC) and both problems are caused by excess CO2 emissions, public awareness of OA is low. We investigated public discussions about CC and OA on Twitter, identifying frames and tweeter characteristics. Tweeting patterns before and after President Trump's 1 June 2017 announcement of the U.S.'s withdrawal from the international Paris Climate Agreement were compared because of the potential for diverse framing of this globally communicated event. For CC tweets, Political/Ideological Struggle (PIS) and Disaster (DS) frames were prevalent, with PIS frames increasing threefold after Trump's announcement. DS, Settled Science (SS), and Promotional frames were prevalent among OA tweets, with SS decreasing and PIS increasing after the announcement. Our findings suggest that Trump's decision sparked discourse on CC and facilitated expressions of politicized opinions on Twitter. We conclude that with a careful understanding of issue familiarity among its publics, social media can be effective for disseminating information and opinion of established and emerging environmental issues, complementing traditional media outlets.",COGENT ENVIRON SCI,OCT 22,2018,10.1080/23311843.2018.1532375,Environmental Sciences,HI2EI,WOS:000456257600001
"Weather, Climate, and the Economy: Explaining Risk Perceptions of Global Warming, 2001-10",WEATHER CLIMATE AND SOCIETY,"Two series of national survey datasets (2001-10), supplemented with monthly temperature and precipitation data and unemployment data, are used to examine how weather and climate, economic performance, and individuals' sociodemographic backgrounds and political orientations affect public perceptions of global warming. Consistent with previous studies, political orientations play a key role in determining public perceptions of global warming. Democrats and liberals are more likely than Republicans and conservatives to see global warming as an immediate and serious problem. Sociodemographic characteristics are also shown to be significant factors, with young people, women, and racial minorities likely to show higher concern about global warming than their counterparts. Moreover, individuals with lower income and higher levels of education tend to be more concerned about global warming. Net of these factors, summer temperature trends over the past 10 years, among other weather and climate measures, are shown to have consistently positive effects on public perceptions of global warming. This suggests that individuals who have experienced increasing summer heat are most likely to perceive immediate impacts and severity of global warming. Surprisingly, macroeconomic conditionsrepresented by the unemployment rate at the county leveldo not appear to influence public perceptions of global warming.",WEATHER CLIM SOC,JAN,2014,10.1175/WCAS-D-13-00029.1,Environmental Studies; Meteorology & Atmospheric Sciences,AG8CJ,WOS:000335646000009
Waterless tanning: chrome tanning in ethanol and its derivatives,RSC ADVANCES,"An approach towards waterless tanning is crucial to address present challenges faced by humanity such as global warming and the depletion of water resources. Here, green solvent alternatives to water such as ethanol, ethyl acetate and ethyl lactate were employed for both pickle-based and pickle-less chrome tanning. The results show that an ethanol medium appears to be the best solvent for chrome tanning in terms of color, chromium uptake and other bulk properties of tanned leathers. Extensive studies indicate that chrome tanning in the ethanol medium leads to a higher exhaustion (87% for pickle-based and 95% for pickle-less), better chromium content, distribution and shrinkage temperature, and low chromium leaching in tanned leathers compared to water mediated tanning. Both visual and electron microscopic analyses demonstrate a comparable grain structure and fiber architecture in tanned and crust leathers. Similarly, the strength and organoleptic properties of crust leathers are also comparable between ethanol and water mediated tanning. The process enables the reduction of COD, BOD and TS loads in the composite liquor by 14-26, 21-28 and 42-46%, respectively. The leather properties are not altered upon recycling of the chromium containing ethanol liquor up to two times. These results suggest that it is possible to replace water with ethanol for chrome tanning, which offers great potential for sustainable leather manufacture with solvent recycling.",RSC ADV,NA,2015,10.1039/c5ra11740b,"Chemistry, Multidisciplinary",CO6FC,WOS:000359251600038
Integrating regional conservation priorities for multiple objectives into national policy,NATURE COMMUNICATIONS,"Multinational conservation initiatives that prioritize investment across a region invariably navigate trade-offs among multiple objectives. It seems logical to focus where several objectives can be achieved efficiently, but such multi-objective hotspots may be ecologically inappropriate, or politically inequitable. Here we devise a framework to facilitate a regionally cohesive set of marine-protected areas driven by national preferences and supported by quantitative conservation prioritization analyses, and illustrate it using the Coral Triangle Initiative. We identify areas important for achieving six objectives to address ecosystem representation, threatened fauna, connectivity and climate change. We expose trade-offs between areas that contribute substantially to several objectives and those meeting one or two objectives extremely well. Hence there are two strategies to guide countries choosing to implement regional goals nationally: multi-objective hotspots and complementary sets of single-objective priorities. This novel framework is applicable to any multilateral or global initiative seeking to apply quantitative information in decision making.",NAT COMMUN,SEP,2015,10.1038/ncomms9208,Multidisciplinary Sciences,CT7TJ,WOS:000363017100036
"CUTICULAR CHEMOPROFILE OF THE FRUIT FLY DROSOPHILA SUBOBSCURA (DIPTERA, DROSOPHILIDAE)",JOURNAL OF ANIMAL AND PLANT SCIENCES,"In insects, cuticular hydrocarbon (CHC) profile is involved in many important biological functions and may vary in different conditions. Among fruit fly species, Drosophila subobscura is one of the most frequently used in genetic, ecological and evolutionary research, because of its rich chromosomal polymorphism, specific behavioral repertoires and habitat preferences. In this work, we identified and quantified cuticular chemoprofile of D. subobscura. Using gas chromatography (GC) and gas chromatography coupled with mass spectrometry (GC-MS), 25 chemical compounds were found in males and 23 compounds were found in females. Further, ANOVA confirmed significant sexual dimorphism in cuticular chemoprofile amounts. Knowledge of cuticular chemistry could contribute to further research in D. subobscura, starting from behavioral, up to ecological, since this species is recognized as an important model system for the study and monitoring of global climate changes.",J ANIM PLANT SCI,DEC,2018,NA,"Agriculture, Multidisciplinary; Biology; Veterinary Sciences",HA6UW,WOS:000450417000040
"First, do no harm-Missing data treatment to support lake ecological condition assessment",ENVIRONMENTAL MODELLING & SOFTWARE,"Indicators of ecological condition status of water bodies associated with field measurements are often subject to data gaps. This obstacle can often lead to abandonment of assessment. Furthermore, it can lead to the use of methods, based merely on their availability. In response to these challenges, a systematic approach for expert -analyst interaction for missing data treatment is proposed. A combination of algorithms with hierarchical clustering of results is used. A particular emphasis is put on the preparation and interpretation of input data and the role of an expert in the workflow. The proposed approach enhances the decision-making process by improving communication and transparency throughout interactions between experts, analysts and decision makers. Future research should focus on assessing the scale of the ecological data drift phenomenon, which, based on the observed climate change, anthropological pressure and biodiversity loss, may impact the broad concept of indicator construction for lake water ecological assessment",ENVIRON MODELL SOFTW,DEC,2022,10.1016/j.envsoft.2022.105558,"Computer Science, Interdisciplinary Applications; Engineering, Environmental; Environmental Sciences; Water Resources",8Z3QR,WOS:000933297700005
Framing agricultural policy through the EC's strategies on CAP reforms (1992-2017),AGRICULTURAL AND FOOD ECONOMICS,"The periodic reforms of the Common Agricultural Policy (CAP) are announced each time by a strategic document in the form of a Communication by the European Commission (EC). The content of the last Communication differs from previous ones, which raises the questions of what frames the EC has employed with respect to its CAP reforms and how these frames have been modified over the past 26 years (from 1991 to 2017) in order to legitimise the preservation of the CAP. This paper tries to fill the gap in the research of frames in the main strategic documents on the CAP by employing comparative historical framing analysis. The results show consistent use of five frames: the policy mechanism frame, farmers' economic frame, foreign trade frame, budgetary frame, and the societal concerns frame. While they have all remained in use, most have been changed significantly over the years. Throughout the analysed period, the farmers' economic frame has retained its primacy and continuity, demonstrating the power of the farmers' lobbies and conservative member states. If in the initial Communications the environment was barely present within the societal concerns frame, it has gained importance in the recent Communications, in addition to other general societal issues, such as climate change, food security and quality, health, digitalisation, innovation, and even migration. By marginalising the policy mechanism frame and replacing it with the implementation model and increasingly emphasising the societal concerns frame with social justifications of the CAP, the EC is trying to legitimise the CAP after 2021.",AGR FOOD ECON,NOV 2,2021,10.1186/s40100-021-00178-4,Agricultural Economics & Policy; Economics,WQ1OH,WOS:000713590600001
SEASONAL AND ECOLOGICAL ASPECTS OF PLAIN PASTURES OF UPPER MESOPOTAMIA FROM SANLIURFA (TURKEY),OXIDATION COMMUNICATIONS,"The aim of the study is to determine the changes of steppe flora at upper Mesopotamia according to seasons. Depending on the blooming phenophase of the plants picked from the research area, the seasonal conditions of the pasture flora and vegatation have been examined. Replacements of plant associations are also detatinined according to the seasons. According to the results, the spring and summer flora seemed to have the highest densities (386 and 207 taxa, respectively). There are 102 taxa in the autumn flora and only 42 taxa in the winter flora. At the results of soil analysis, salinisation has been determined in some areas. Halophytic plants and associations are expressed. The region climatic data are also discussed. The change of flora and vegetation is described according to climate. Additionally, the productivitiy of pastures and threat factors are also discussed. Excessive grazing causes to transforming of primary steppe to secondary and than semi-desert to desert vegetation.",OXID COMMUN,NA,2016,NA,"Chemistry, Multidisciplinary",DL0PC,WOS:000375333900017
Subpolar North Atlantic western boundary density anomalies and the Meridional Overturning Circulation,NATURE COMMUNICATIONS,"Changes in the Atlantic Meridional Overturning Circulation, which have the potential to drive societally-important climate impacts, have traditionally been linked to the strength of deep water formation in the subpolar North Atlantic. Yet there is neither clear observational evidence nor agreement among models about how changes in deep water formation influence overturning. Here, we use data from a trans-basin mooring array (OSNAP-Overturning in the Subpolar North Atlantic Program) to show that winter convection during 2014-2018 in the interior basin had minimal impact on density changes in the deep western boundary currents in the subpolar basins. Contrary to previous modeling studies, we find no discernable relationship between western boundary changes and subpolar overturning variability over the observational time scales. Our results require a reconsideration of the notion of deep western boundary changes representing overturning characteristics, with implications for constraining the source of overturning variability within and downstream of the subpolar region. Western boundary current variability in the subpolar North Atlantic is thought to reflect interior convection changes and determine Atlantic Meridional Overturning Circulation variability. Here, the authors show with an extended OSNAP time series that neither linkage is robust due to the complex dynamics in the region.",NAT COMMUN,MAY 24,2021,10.1038/s41467-021-23350-2,Multidisciplinary Sciences,SO1VW,WOS:000658768100001
